dateTime,zone,subject_race,subject_sex,department_id,type,arrest_made,citation_issued,warning_issued,outcome,frisk_performed,search_conducted,reason_for_stop,vehicle_make,raw_BasisForStop,raw_OperatorRace,raw_OperatorSex,raw_ResultOfStop
2005-11-22 11:15:00,X3,white,male,200,vehicular,False,True,False,citation,False,False,Speeding,,SP,W,M,M
2005-10-01 12:20:00,X3,white,male,200,vehicular,False,True,False,citation,False,False,Speeding,,SP,W,M,M
2005-10-01 12:30:00,X3,white,female,200,vehicular,False,True,False,citation,False,False,Speeding,,SP,W,F,M
2005-10-01 12:50:00,X3,white,male,200,vehicular,False,True,False,citation,False,False,Speeding,,SP,W,M,M
2005-10-01 13:10:00,X3,white,female,200,vehicular,False,True,False,citation,False,False,Speeding,,SP,W,F,M
2005-10-01 15:50:00,X3,white,male,200,vehicular,False,True,False,citation,False,False,Other Traffic Violation,,OT,W,M,M
2005-09-11 11:45:00,X3,white,male,200,vehicular,False,True,False,citation,False,False,Speeding,,SP,W,M,M
2005-09-11 11:45:00,X3,white,female,200,vehicular,False,True,False,citation,False,False,Speeding,,SP,W,F,M
2005-10-04 11:55:00,X3,hispanic,male,200,vehicular,False,True,False,citation,False,False,Speeding,,SP,H,M,M
2005-10-04 11:55:00,X3,white,male,200,vehicular,False,True,False,citation,False,False,Speeding,,SP,W,M,M
2005-10-04 14:28:00,X3,white,female,200,vehicular,False,True,False,citation,False,False,Speeding,,SP,W,F,M
2005-10-04 14:45:00,X3,white,male,200,vehicular,False,True,False,citation,False,False,Speeding,,SP,W,M,M
2005-10-04 15:02:00,X3,white,male,200,vehicular,False,True,False,citation,False,False,Speeding,,SP,W,M,M
2005-10-04 15:35:00,X3,white,male,200,vehicular,False,True,False,citation,False,False,Speeding,,SP,W,M,M
2005-10-10 17:50:00,X3,white,male,200,vehicular,False,True,False,citation,False,False,Other Traffic Violation,,OT,W,M,M
2005-10-10 18:10:00,X3,white,female,200,vehicular,False,True,False,citation,False,False,Other Traffic Violation,,OT,W,F,M
2005-10-10 18:35:00,X3,white,male,200,vehicular,False,True,False,citation,False,False,Speeding,,SP,W,M,M
2005-10-10 19:20:00,X3,white,female,200,vehicular,False,True,False,citation,False,False,Speeding,,SP,W,F,M
2005-10-17 11:55:00,X3,white,female,200,vehicular,False,True,False,citation,False,False,Speeding,,SP,W,F,M
2005-10-17 14:10:00,X3,white,female,200,vehicular,False,True,False,citation,False,False,Speeding,,SP,W,F,M
